Genus,Count,Figure
Acinetobacter,1,1
Aequorivita,1,2
Alcanivorax,3,3
Algoriphagus,4,"4a, 4b"
Aliivibrio,2,5
Alkalihalobacillus,5,"6a, 6b"
Aquimarina,4,7
Arenibacter,3,8
Arenicella,1,9
Bacillus,24,10a to 10f
Bizionia,1,11
Bowmanella,2,12
Brachybacterium,5,"13a, 13b"
Brevibacterium,1,14
Castellaniella,1,15
Chromohalobacter,4,"16a, 16b"
Clavibacter,1,17
Cobetia,1,18
Corynebacterium,1,19
Cystofilobasidium,1,20
Dietzia,1,21
Exiguobacterium,1,22
Feifantangia,2,23
Fictibacillus,1,24
Flaviramulus,1,25
Francisella,4,26
Gordonia,1,27
Halomonas,11,"28a, 28b, 28c"
Hoeflea,1,29
Idiomarina,17,"30a, 30b"
Janibacter,3,31
Labrenzia,5,"32a, 32b"
Lacinutrix,1,33
Leisingera,2,"34a, 34b"
Limimaricola,1,35
Loktanella,4,36
Marinobacter,2,37
Marivivens,1,38
Mesobacillus,1,39
Micrococcus,4,40
Mycolicibacterium,1,41
Neptunomonas,4,42
Nesterenkonia,3,43
Nocardioides,1,44
Novosphingobium,1,45
Oceanobacillus,1,46
Paenibacillus,1,47
Paenisporosarcina,1,48
Paracoccus,6,"49a, 49b"
Paraglaciecola,1,50
Parasphingorhabdus,3,51
Pelagicola,1,52
Peribacillus,1,53
Phaeobacter,1,54
Photobacterium,2,"55a, 55b"
Planococcus,1,56
Pseudidiomarina,1,57
Pseudoalteromonas,18,"58a, 58b, 58c"
Pseudomonas,8,59
Pseudorhodobacter,1,60
Pseudovibrio,1,61
Psychrobacter,1,62
Qipengyuania,6,"63a, 63b"
Rheinheimera,1,64
Rhodococcus,2,65
Roseivirga,1,66
Ruegeria,10,67
Saccharomyces,9,"68a, 68b"
Salegentibacter,2,69
Salinicola,8,"70a, 70b"
Salinisphaera,1,71
Serratia,1,72
Shewanella,6,"73a, 73b"
Sporosarcina,1,74
Staphylococcus,8,"75a, 75b"
Stappia,2,76
Sufflavibacter,1,77
Tenacibaculum,1,78
Thalassobacillus,2,79
Thalassospira,2,80
Vibrio,14,"81a, 81b"
Vicingus,1,82
Yoonia,2,83
Zobellia,1,84
